Date,Symbol,Action,Price,Amount,Gain/Loss,Balance
2022-06-13,SOXS,BUY,605,165.28925619834712,0,0
2022-09-14,SOXS,SELL,512,0,-15371.900826446283,84628.09917355372
2022-10-07,SOXS,BUY,632.099976,133.88404111180307,0,0
2022-12-14,SOXS,SELL,311.799988,0,-42883.056761502026,41745.042412051705
Summary,,Total Gain/Loss,,Percentage Return,Current Balance
,,-58254.95758794831,,-58.25%,41745.042412051705
